question,ground_truth,answer,quality_tier,num_relevant,num_distractors,ragas_hallucinated,ragas_faithfulness,nli_hallucinated,nli_entailment_prob,lexical_hallucinated,lexical_overlap,ground_truth_hallucinated
who starred in the movie deep water horizon,"['Kurt Russell', ""Dylan O'Brien"", 'John Malkovich', 'Kate Hudson', 'Gina Rodriguez', 'Mark Wahlberg']",don't know. The provided context does not mention anything about the movie Deep Water Horizon.,high,4,1,,,,,True,0.25,True
when did justin bieber perform at madison square garden,"['August 31, 2010']",don't know. The provided context does not contain information about Justin Bieber performing at Madison Square Garden.,high,4,1,,,,,False,0.5,True
protozoan classification used to be based on their means of,['locomotion'],don't know. The provided context does not contain information about protozoan classification.,high,4,1,,,,,False,0.5625,True
who was the first one to migrate to madinah,['Islamic prophet Muhammad'],e provided context does not contain information about the first one to migrate to Madinah.,high,4,1,,,,,True,0.05555555555555555,True
ice sheets and tundra are typical of which koppen climate category,['polar'],don't know. The provided context does not contain information about ice sheets and tundra being typical of a specific Koppen climate category.,high,4,1,,,,,False,0.3214285714285714,True
what is the size of the angles of an equilateral triangle,['60°'],don't know. The provided context does not contain information about the size of the angles of an equilateral triangle.,high,4,1,,,,,False,0.55,True
when does beaty and the beast take place,['Rococo-era'],"e provided context does not contain information about the movie or story ""Beauty and the Beast.""",high,4,1,,,,,True,0.1111111111111111,True
who sings done for me with charlie puth,['American singer Kehlani'],don't know.,high,4,1,,,,,False,1.0,True
what counties are in the 6th congressional district in ga,"['Fulton', 'DeKalb', 'Cobb']",don't know. The provided context does not mention any counties in Georgia related to the 6th congressional district.,high,4,1,,,,,False,0.38636363636363635,True
who was heading indian army during bangladesh libration war 1971,['Sam Manekshaw'],don't know. The provided context does not contain information about who was heading the Indian Army during the Bangladesh Liberation War in 1971.,high,4,1,,,,,False,0.3205128205128205,True
who wrote the music for somewhere in time,['John Barry'],"don't know. The context does not mention who wrote the music for ""Somewhere in Time.""",high,4,1,,,,,False,0.4583333333333333,True
who sings the marriage of figaro in shawshank redemption,"['Edith Mathis', 'Gundula Janowitz']","don't know. The context provided does not mention anything about ""The Marriage of Figaro"" being sung in Shawshank Redemption.",high,4,1,,,,,True,0.2159090909090909,True
who did chris long play football for last year,['Eagles'],don't have information about Chris Long playing football last year.,high,4,1,,,,,True,0.1875,True
when did harry potter and the deathly hallows come out,['21 July 2007'],don't know. The provided context does not contain information about the release date of Harry Potter and the Deathly Hallows.,high,4,1,,,,,True,0.25,True
how many episode of my hero academia season 2,['25'],don't know. The provided context does not contain information about My Hero Academia season 2.,high,4,1,,,,,False,0.35,True
during the rebuttal section of a formal debate which team speaks first,['the affirmative team'],don't know. The provided context does not contain information about the rebuttal section of a formal debate or the order in which teams speak during that section.,high,4,1,,,,,True,0.07692307692307693,True
when was the last amendment made to the us constitution,"['May 5, 1992']","don't know, the provided context does not mention the last amendment made to the US Constitution.",high,4,1,,,,,False,0.65,True
starch based food to be made into plastic,['corn starch'],don't know. The provided context does not mention anything about starch based foods being made into plastic.,high,4,1,,,,,False,0.5909090909090909,True
when did north korea launch the first missile,['1984'],don't know. The provided context does not mention anything about North Korea launching the first missile.,high,4,1,,,,,True,0.29545454545454547,True
what mineral in 4 ga sandstones was dated to determine the age of the earth,['zircon'],aphite in 3.7 billion-year-old metasedimentary rocks.,high,4,1,,,,,False,0.9,True
when is the last time a total eclipse happened in the us,"['August 21, 2017']",don't know. The provided context does not contain information about the last total solar eclipse to occur in the United States.,high,4,1,,,,,False,0.4423076923076923,True
when did india participate in olympics for first time,['1900'],dia participated in the Olympics for the first time in 1900 at the Paris Games.,high,4,1,,,,,False,0.4375,True
when is it revealed that luke and leia are siblings,['In Return of the Jedi'],e provided context does not contain information about Luke and Leia being siblings.,high,4,1,,,,,False,0.3125,True
what is the population of farmington new mexico,"['41,629']","don't know. The provided context does not contain information about the population of Farmington, New Mexico.",high,4,1,,,,,False,0.31666666666666665,True
what was the last year they made the gmc envoy,['2008'],don't know. The provided context does not mention the last year that the GMC Envoy was made.,high,4,1,,,,,False,0.3,True
new amsterdam was the main settlement in the dutch colony of,['New Netherland'],w Amsterdam was the main settlement in the Dutch colony of New Netherland.,high,4,1,,,,,False,0.7083333333333333,True
in the bible who was thrown into the fiery furnace,"['Meshach', 'Abednego', 'Shadrach']",ere is no mention in the provided documents about anyone being thrown into a fiery furnace in the Bible.,high,4,1,,,,,True,0.0,True
