question,answer,context,ground_truth,quality_tier,num_relevant,num_distractors,ragas_hallucinated,ragas_faithfulness,nli_hallucinated,nli_entailment_prob,lexical_hallucinated,lexical_overlap,ground_truth_hallucinated
what is the channel number for cartoon network on spectrum,e provided context does not contain information about the channel number for Cartoon Network on Spectrum.,[],"['768 (HD)', '68 (SD)']",low,1,4,False,1.0,False,0.5,True,0.0,True
when are the fa cup semi finals played,don't know. The provided context does not mention the FA Cup semi finals.,[],['the new Wembley Stadium'],low,1,4,True,0.0,False,0.5,True,0.0,True
when did the ipod touch 6 gen came out,"e iPod Touch 6th generation was announced in mid-2015 and officially released on July 15, 2015.",[],"['July\xa015,\xa02015']",low,1,4,True,0.0,False,0.5,True,0.0,True
west ham players in the 1966 world cup,don't know. The provided context does not contain information about West Ham players in the 1966 World Cup.,[],"['Martin Peters', 'Geoff Hurst', 'Bobby Moore']",low,1,4,True,0.0,False,0.5,True,0.0,True
who sings the theme song for miami vice,don't know.,[],['Jan Hammer'],low,1,4,True,0.0,False,0.5248289108276367,False,0.5,True
who sings should have seen it in color,"don't know. The provided context doesn't contain any information about the song ""Should Have Seen It in Color.""",[],['Jamey Johnson'],low,1,4,True,0.0,False,0.5,True,0.0,True
who starred in the movie deep water horizon,"don't know, the provided context doesn't mention anything about the movie Deep Water Horizon.",[],"['Kurt Russell', ""Dylan O'Brien"", 'John Malkovich', 'Kate Hudson', 'Gina Rodriguez', 'Mark Wahlberg']",low,1,4,True,0.0,False,0.5,True,0.0,True
when did justin bieber perform at madison square garden,don't know. The provided context does not contain information about Justin Bieber performing at Madison Square Garden.,[],"['August 31, 2010']",low,1,4,True,0.0,False,0.5,True,0.0,True
protozoan classification used to be based on their means of,don't know. The provided context does not mention anything about protozoan classification.,[],['locomotion'],low,1,4,False,0.5,False,0.5,True,0.0,True
who was the first one to migrate to madinah,e provided context does not contain information about the first one to migrate to Medina.,[],['Islamic prophet Muhammad'],low,1,4,True,0.0,False,0.5,True,0.0,True
ice sheets and tundra are typical of which koppen climate category,don't know. The provided context does not contain any information about the Koppen climate category or ice sheets and tundra.,[],['polar'],low,1,4,True,0.0,False,0.5,True,0.0,True
what is the size of the angles of an equilateral triangle,e provided context does not contain information about the size of the angles of an equilateral triangle.,[],['60°'],low,1,4,True,0.0,False,0.5,False,0.5,True
when does beaty and the beast take place,"don't know. The provided context does not mention anything about ""Beauty and the Beast.""",[],['Rococo-era'],low,1,4,True,0.0,False,0.5,True,0.0,True
who sings done for me with charlie puth,don't know.,[],['American singer Kehlani'],low,1,4,True,0.0,False,0.5248289108276367,False,0.5,True
what counties are in the 6th congressional district in ga,don't know. The provided context does not contain information about the 6th congressional district in GA.,[],"['Fulton', 'DeKalb', 'Cobb']",low,1,4,True,0.0,False,0.5,True,0.0,True
who was heading indian army during bangladesh libration war 1971,don't know. The provided documents do not contain any information about the Indian Army during the Bangladesh Liberation War of 1971.,[],['Sam Manekshaw'],low,1,4,True,0.0,False,0.5,True,0.0,True
who wrote the music for somewhere in time,"e context provided does not contain any information about the music for ""Somewhere in Time.""",[],['John Barry'],low,1,4,True,0.0,False,0.5,True,0.0,True
who sings the marriage of figaro in shawshank redemption,"don't know. The context provided does not mention anything about the character who sings ""The Marriage of Figaro"" in Shawshank Redemption.",[],"['Edith Mathis', 'Gundula Janowitz']",low,1,4,True,0.0,False,0.5,True,0.0,True
who did chris long play football for last year,don't know. The provided context does not mention anything about Chris Long playing football for any specific team last year.,[],['Eagles'],low,1,4,True,0.0,False,0.5,True,0.0,True
when did harry potter and the deathly hallows come out,don't know. The provided context does not mention anything about Harry Potter and the Deathly Hallows.,[],['21 July 2007'],low,1,4,True,0.0,False,0.5,True,0.0,True
how many episode of my hero academia season 2,don't know. The provided context does not mention the number of episodes in season 2 of My Hero Academia.,[],['25'],low,1,4,False,0.5,False,0.5,True,0.0,True
during the rebuttal section of a formal debate which team speaks first,don't know. The provided context does not contain information about a formal debate or the rebuttal section of one.,[],['the affirmative team'],low,1,4,True,0.0,False,0.5,True,0.0,True
when was the last amendment made to the us constitution,"don't know, the provided context does not contain information about the last amendment made to the US Constitution.",[],"['May 5, 1992']",low,1,4,False,0.5,False,0.5,True,0.0,True
starch based food to be made into plastic,don't know. The provided context does not contain any information about starch based food being made into plastic.,[],['corn starch'],low,1,4,True,0.0,False,0.5,True,0.0,True
when did north korea launch the first missile,don't know. The provided context does not contain information about when North Korea launched the first missile.,[],['1984'],low,1,4,True,0.0,False,0.5,True,0.0,True
what mineral in 4 ga sandstones was dated to determine the age of the earth,don't know. The provided context does not mention any mineral in 4 ga sandstones that was dated to determine the age of the earth.,[],['zircon'],low,1,4,True,0.0,False,0.5,True,0.0,True
when is the last time a total eclipse happened in the us,e provided context does not contain information about the last total eclipse to happen in the US.,[],"['August 21, 2017']",low,1,4,True,0.0,False,0.5,False,0.5,True
when did india participate in olympics for first time,don't know. The provided documents do not mention India's participation in the Olympics.,[],['1900'],low,1,4,True,0.0,False,0.5,True,0.0,True
when is it revealed that luke and leia are siblings,don't know. The provided context does not contain any information about Luke and Leia being siblings.,[],['In Return of the Jedi'],low,1,4,True,0.0,False,0.5,True,0.0,True
what is the population of farmington new mexico,"don't know. The provided context does not contain information about the population of Farmington, New Mexico.",[],"['41,629']",low,1,4,False,0.5,False,0.5,True,0.0,True
what was the last year they made the gmc envoy,"don't know, as the context does not contain any information about the last year the GMC envoy was made.",[],['2008'],low,1,4,False,0.5,False,0.5,False,0.5,True
new amsterdam was the main settlement in the dutch colony of,w Amsterdam was the main settlement in the Dutch colony of New York.,[],['New Netherland'],low,1,4,True,0.0,False,0.5,True,0.0,True
in the bible who was thrown into the fiery furnace,don't know. The provided context does not contain information about who was thrown into the fiery furnace in the Bible.,[],"['Meshach', 'Abednego', 'Shadrach']",low,1,4,True,0.0,False,0.5,True,0.0,True
